id,title,year,reference,authors,keywords,format
1326,Arion lusitanicus questionable on the Falkland Islands,1988,"Journal of Conchology, 33, pp. 49.","Von Proschwitz, T.","Shellfish, Falkland islands",Scientific Paper
1342,Las Especies Argentinas del Genero Calandrinia (Portulacaceae),1953,"Boletin de la Sociedad Argentina de Botanica, 5(1-2): 1-29",Anon,,Scientific Paper
1346,"Observations sur la pheophycee australe: Corycus lanceolatus (Kutp) Skottsb, 2 planches",1975,"Le Botaniste, 57: 153-166","Asensi, A.O.","Marine algae, Seaweed",Scientific Paper
1354,Environmental patterns and plant distribution along a precipitation gradient in western Patagonia.,1995,"Journal of Arid Environments, 29, pp. 85-97.","Bertiller, M.B., Elissalde, N.O., Rostagno, C.M., Defosse, G.E.","Plant distribution, Environmental patterns, Grazing disturbance, Festuca pallescens, Grassland",Scientific Paper
1366,"Mycorrhizal status of Deschampsia antarctica in the Palmer Station area, Antarctica",1995,"Mycologia, 87(4): 451-453","Demars, B.G., Boerner, R.E.J.",,Scientific Paper
1368,New contributions to the knowledge of wild and cultivated plants in the Falkland Islands (Spanish with Eng. Summary),1981,Anales de la Sociedad Cientifica Argentina 209 & 210 pp 11-56,"Dimitri, M.J., Orfila, E.M.","Botany, Cape pembroke, Swan pond, Flora",Scientific Paper
1371,Estudios fitosociologicos en el archipielago cabo de Hornos II - relevamientos en la isla Hornos,1981,"Anales del Instituto de la Patagonia, 12, pp. 173-182.","Dollenz Alvarez, O.",,Scientific Paper
1378,"The genus Lessonia. Bory (Phaeophyta, Laminariales) in southern Chile and Argentina.",1978,British Phycological Journal 13 pp 361-381,"Searles, R.B.","Seaweed, Kelp, Lessonia",Scientific Paper
1379,A biometrical analysis of the South American Elymus glaucescens complex (Poaceae: Triticeae).,1989,"Plant Systematics and Evolution, 166, pp. 91-104.","Seberg, O.","Agropyron, Elymus, Flora, Patagonia, Tierra del fuego, Falkland islands, Lyme grass, Grasses",Scientific Paper
1380,A Remarkable Case of Ornithophily in Calceolaria: Food Bodies as Rewards for a Non-nectarivorous Bird.,1996,"Botanica Acta, 109, pp. 172-176.","Sersic, A.N., Cocucci, A.A.","Pollination, Thinocorus, Scrophulariaceae, Lady's slipper",Scientific Paper
1383,Botanische Ergebnisse der Schwedischen Expedition Nach Patagonien und dem Feuerlande 1907-1909.,1913,"III. A Botanical Survey of the Falkland Islands, Kungl. Svenska Vetenskapsakademiens Handlingar, 50 (3),   Uppsala & Stockholm, Almquist & Wiksells Boktryckery-A-B, 129 pp. ","Skottsberg, C.","Flora, Vegetation",Scientific Paper
1389,Effects of burning on nutrient balance in an area of gorse (Ulex europaeus L.) scrub.,1997,"The Science of the Total Environment, 204, pp. 271-281.","Soto, B., Basanta, R., Diaz-Fierros, F.","Burning, Nutrients, Gorse, Ulex europaeus, Grasses",Scientific Paper
1390,The lichen family Cladoniaceae in the Falkland Islands.,1992,Annals Botanica Fennici. 29 pp 67-73,"Stenroos, S., Ahti, T.","Lichens, Biogeography, Cladoniaceae, Falkland islands, Lichen, Txonomy.",Scientific Paper
1397,Botanical specimens collected during the second scientific campaign in the Falkland Islands. ,1981,"Anales de la Sociedad Cientifica Argentina, 209-210, pp. 57-63.","Ulibarri, E.A.","Collection, Botanical specimens, Flora",Scientific Paper
1401,"Plant and frond dynamics of the giant kelp, Macrocystis pyrifera, forming a fringing zone in the Falkland Islands.",1993,European Journal of Phycology. 28 (3) pp 161-165,"Van Tussenbroek, B.I.","Macrocystis pyrifera, Falkland islands, Frond dynamics, Giant kelp, Kelp",Scientific Paper
1402,"Observations on branched Macrocystis pyrifera (L.) C. Agardh (Laminariales, Phaeophyta) in the Falkland Islands.",1989,Phycologia. 28 pp 169-180,"Van Tussenbroek, B.I.","Macrocystis pyrifera, Laminariales, Phaeophyta, Falkland islands, Kelp, Seaweed",Scientific Paper
1403,"Smooth-bladed Macrocystis (Laminariales, Phaeophyta) from the Falkland Islands.",1989,Phycologia. 28 (4) pp 520-523,"Van Tussenbroek, B.I.","Macrocystis, Laminariales, Phaeophyta, Falkland islands, Kelp, Seaweed",Scientific Paper
1404,Morphological variations of Macrocystis pyrifera in the Falkland Islands in relation to environment and season.,1989,Marine Biology. 102 (4) pp 545-556,"Van Tussenbroek, B.I.","Morphology, Macrocystis pyrifera, Falkland islands, Environment, Seaweed, Kelp",Scientific Paper
1408,"Latitudinal variation in allocation to reproduction by the Antarctic oribatid mite, Alaskozetes antarcticus.",1998,Applied Soil Ecology. 9 (1-3) pp 93-99,"Convey, P.","Alaskozetes antarcticus, Antarctic, Egg, Latitude, Oribatid mite, Reproductive allocation.",Scientific Paper
1424,Cestodes from birds of South Shetland (Antarctica) and the Falkland Isles (the Malvines).,1982,"Angew Parasitol, 23 (4), pp. 203-223.","Odening, V.K.","Cestodes, Birds, South shetland, Falkland islands, Parasites, Kelp gull, Skua.",Scientific Paper
1433,"Oribatid mites (Acari: Oribatida) of Beauchene Island, Falkland Islands.",1995,Journal of Natural History. 29 pp 1461-1467,"Stary, J.","Acari oribatids, Taxonomy, Neotropical and sub-antarctic, Falkland islands, Beauchene island",Scientific Paper
1434,"Oribatid mites (Acai: Oribatida) of the Falkland Islands, South Atlantic and their zoogeographical relationships.",1996,Journal of Natural History. 30 pp 523-535,"Stary, J., Block, W.","Mites, Oribatida, Neotropical region, Falkland islands.",Scientific Paper
1435,"Distribution and biogeography of oribatid mites (Acari: Oribatida) in Antarctica, the sub-Antarctiac islands and nearby land areas.",1998,"Journal of Natural History, 36 (6), pp. 861-894.","Stary, J., Block, W.","Distribution, Biogeography, Oribatid mites, Acari, Oribatida, Antarctica",Scientific Paper
1439,Morphology of gorse (Ulex europaeus L.) and its consequenses for browsing by ponies,1997,Bulletin of the Geobotanical Institute ETH. 63: 69-75,"Edwards, P.J., Ekins, J.R.","Morphology, Gorse, Ulex europaeus, Browsing, Ponies",Scientific Paper
1455,A comparison between northern and southern hemisphere tundras and related ecosystems.,1985,"Polar Biology, 5, pp. 5-21.","French, D.D., Smith, V.R.","Comparison, Northern hemisphere, Southern hemisphere, Tundras, Ecosystems.",Scientific Paper
1456,The vascular flora of the Outer Westman Islands.,1967,"Greinar IV (3): 37-67. Societas Scientiarum Islandica, Reykjavik, Iceland.","Fridriksson, S., Johnsen, B.","Vascular flora, Iceland",Scientific Paper
1457,Non-glabrous species of Pseudocyphellaria from southern South America.,1986,Lichenologist. 18 pp 105-168,"Galloway, D.J.","Pseudocyphellaria, Southern south america, Lichens, Flora",Scientific Paper
1460,Rapport sur la Flore des iles Malouines ,1825,"Annales des sciences naturelles, 5: 89-110","Gaudichaud, M.","Flora, History",Scientific Paper
1461,"Biology, ecology and control of gorse (Ulex europaeus L.): a bibliography.",1981,"New Zealand Journal of Agricultural Research, 24, pp. 123-137.","Gaynor, D.L., MacCarter, L.E.","Biology, Ecology, Control, Gorse, Ulex europaeus, Bibliography, Flora, Grasses",Scientific Paper
1462,Effects of enhanced UV-B radiation on production-related properties of a Sphagnum fuscum dominated subarctic bog,1998,"Functional Ecology, 12(6), pp. 940-947.","Gehrke, C.","Biomass, Gas-exchange rates, Peatland ecosystem, Shoot length, Spatial shoot density",Scientific Paper
1464,Effects of enhanced Ultraviolet-B radiation on terrestrial subarctic ecosystems and implications for interactions with increased atmospheric CO2,1996,"Ecological Bulletins, 45, pp.192-203.","Gehrke, C., Johanson, U., Gwynn-Jones, D., Bjorn, L.O., Callaghan, T.V.","Ultraviolet-b radiation, Terrestrial ecosystems, Subarctic regions, Atmospheric co2",Scientific Paper
1465,"A pollen profile from Tussac peat, Sea Lion Island, East Falkland.",1986,"The Warrah. Annual Report of the Falkland Islands Trust, pp. 4-7.","Gennard, D.E., McAdam, J.H.","Pollen, Tussac peat, Falkland islands, Vegetation history, Sealion island",Scientific Paper
1470,The botany of southern Chile in relation to New Zealand and the Subantarctic,1960,Proceedings of the Royal Society of London. 152: 457-475,"Godley, E.J.","Botany, Chile, New zealand, Subantarctic zone",Scientific Paper
1477,An annotated check list of the Sub-Antarctic vascular flora.,1975,"Polar Record, 17 (110), pp. 473-484.","Greene, S.W., Walton, D.W.H.","Vascular flora, Sub-antarctic, Flora",Scientific Paper
1479,A Synoptic Flora of South Georgian Mosses.,1974,"Collection of 5 papers reprinted from British Antarctic Survey Bulletin, London, British Antarctic Survey, Natural Environment Research Council,  128pp. ","Greene, S.W.","Flora, Mosses, South georgia",Scientific Paper
1480,The Antarctic Moss Sarconeurum glaciale (C. Muell.) Card. Et Bryhn in southern South America,1975,"British Antarctic Survey Bulletin., Nos. 41 - 42: 187-191.","Greene, S.W.","Antarctic moss, Sarconeurum glaciale, South america",Scientific Paper
1481,"Impact of the introduced grass Agrostis stolonifera on vegetation and soil fauna communities at Marion Island, sub-Antarctic.",1998,Biological Conservation. 85 (3) pp 223-231,"Gremmen, N.J.M., Chown, S.L., Marshall, D.J.","Sub-antarctic, Introduced plants, Soil fauna, Species richness, Conservation, Grasses, Marion island",Scientific Paper
1483,Vascular Plant Collections from the Tristan Da Cunha Group of Islands,1981,"Bulletin of the British Museum (Natural History). Botany Series Vol 8 No. 4, pp 333-420. O.J.","Groves, E.W.","Vascular flora, Atlantic islands, Tristan da cunha",Scientific Paper
1492,"Lessonia adamsiae sp. Nov. (Phaeophyta: Laminariales) from the Snares Islands, New Zealand.",1987,"New Zealand Journal of Botany. 25, pp  295-308","Hay, C.H.","Laminariales, Lessonia, Kelp, Systematics, Phytogeography, Snares islands, New zealand, Taxonomy, Seaweed",Scientific Paper
1494,Plant colonization of actively sorted stone stripes in the subantarctic,1984,"Arctic and Alpine Research., 16 (2): 161-172.","Heilbronn, T.D., Walton, D.W.H.","Plant colonization, Subantarctic, Phleum alpinum, Deschampsia antarctica, Festuca contracta, Acaena tenera, Fellfield areas, Soil stabilization, Grasses",Scientific Paper
1495,New records of lecideoid lichens from the Southern Hemisphere.,1989,Mitteilungen der Botanischen Staatssammlung Muenchen. 28 pp 211-238,"Hertel, H.","Lecideoid lichens, Southern hemisphere, Lichens",Scientific Paper
1504,"The Botany of the Antarctic Voyage of HM Ships Erebus and Terror in the Years 1839-1843. I: Flora Antarctica. Part 1 Botany of Lord Auckland's Group and Campbell's Island. Part 2 Botany of Fuegia, The Falkland's, Kerguelen's Land etc.",1847,"Reprinted (1963) by Cramer, Weinheim","Hooker, J.D.","Flora, Botany, Antarctica, Falkland islands",Scientific Paper
1509,Variation in the chloroplast to cell area index in Deschampsia antarctica along a 16o  latitudinal gradient,1983,British Antarctic Survey Bulletin. 61 pp 13-20,"Jellings, A.J., Usher, M.B., Leech, R.M.","Environment, Chloroplast, Deschampsia antarctica, Grasses, Growth",Scientific Paper
1526,Systematics of Myrteola (Myrtaceae).,1988,Systematic Botany. 13 (1) pp 120-132,"Landrum, L.R.","Systematics, Myrteola, Myrtaceae, Teaberry",Scientific Paper
1527,The Myrtle family (Myrtaceae) in Chile,1988,Proceedings of the California Academy of Sciences. 45 (12) pp 277-317,"Landrum, L.R.","Myrtle family, Myrtaceae, Chile",Scientific Paper
1529,A comparison of plant growth at an Arctic and Antarctic Station.,1970,"In: Holdgate, M.W. (ed.)  Antarctic Ecology, London, Academic Press, 2, pp. 838-850.","Lewis, M.C., Greene, S.W.","Plant growth, Arctic station, Antarctic station",Scientific Paper
1531,Introduced plants in Antarctica: Potential impacts and conservation issues.,1996,Biological Conservation. 76 pp 135-146,"Lewis-Smith, R.I.","Introduced plants, Antarctica, Conservation",Scientific Paper
1532,Types of Peat and Peat-forming Vegetation on South Georgia.,1981,"Br.Antarc. Surv. Bull., No. 53, 119-139.","Lewis-Smith, R.I.","Peat, Vegetation, South georgia",Scientific Paper
1535,The natural history of Beauchene Island,1985,Biological Journal of the Linnean Society. 24 (3): 233-283,"Lewis-Smith, R.I., Prince, P.A.","History, Vegetation, Beauchene island, Falkland islands, Flora, Poa flabellata, Peat deposits, Seals, Birds, Invertebrates, Tussac ecosystem, Conservation, Tussack grass",Scientific Paper
1544,"Infrageneric taxonomy of Ahnfeltia (Ahnfeltiales, Rhodophyta).",1989,"Journal of Phycology., 25 (2): 351-368.","Maggs, C.A., McLachlan, J.L., Saunders, G.W.","Taxonomy, Ahnfeltia, Ahnfeltiales, Rhodophyta, Red seaweeds",Scientific Paper
1547,"Palaeoenvironments and palaeoclimates of Tierra del Fuego and southernmost Patagonia, South America",1993,"Palaeogeography, Palaeoclimatology, Palaeoecology. 102: (1-2): 53-68","Markgraf, V.","Palaeoenvironments, Palaeoclimates, Tierra del fuego, Patagonia, South america",Scientific Paper
1554,Notes on two southern South American species of Brachytheciaceae (Musci).,1989,Journal of the Hattori Botanical Laboratory. No 66 pp 321-330,"Matteri, C.M., Ochyra, R.","Musci, South american species, Brachytheciaceae, Mosses",Scientific Paper
1556,Observations on the vascular flora of the Falkland Islands,1982,The Virginia Journal of Science. 33 (3) pp 127,"Mazzeo, P.M.","Distribution, Status, Vascular flora, Flora",Scientific Paper
1557,"The current status, threats to and conservation of the flora of the Falkland Islands.",1995,Aspects of Applied Biology. 44 pp 419-424,"McAdam, J.H.","Status, Conservation, Flora, Falkland islands.",Scientific Paper
1561,"Report on the Plants obtained by Mr. Rupert Vallentin in the Falkland Islands, 1901-1902.",1903,"Manchester Memoirs., 47 (10): 1-8.","Melvill, J.C.","Plants, Mr. rupert vallentin, Falkland islands, Flora",Scientific Paper
1565,Regeneration of Subantarctic Plants on Campbell Island following exclusion of Sheep,1982,"New Zealand Journal of Ecology., 5: 51-58","Meurk, C.D.","Plants, Campbell island, Regeneration, Sheep",Scientific Paper
1566,Some observations on the reproductive biology of Gaultheria procumbens (Ericaceae),1981,"American Journal of Botany, 68 (10): 1298-1305","Mirick, S., Quinn, J.A.","Reproduction, Biology, Gaultheria procumbens, Ericaceae, Flora",Scientific Paper
1569,Some of the flora of the Falkland Islands.,1995,"Gibbons Stamp Monthly, 26 (1): 29-32","Moir, G.D.","Flora, Falkland islands",Scientific Paper
1574,Origins of temperate Island Floras,1980,"In D. Bramwell (Ed.) Plants and Islands. Academic Press, London, pp 69-85","Moore, D.M.","Status, Origin, Flora, Falkland islands",Scientific Paper
1578,Further records for the Vascular Flora of the Falkland Islands.,1967,"Botaniska Notiser, 120, pp. 17-25.","Moore, D.M.","Vascular flora, Falklad islands, Flora",Scientific Paper
1579,Pseudo-vivipary in Fuegian and Falkland Islands grasses.,1976,"British Antarctic Survey Bulletin, 43: 103-110","Moore, D.M., Doggett, M.C.","Pseudo-vivipary, Tierra del fuego, Falkland islands, Grasses, Grassland",Scientific Paper
1580,Hierochloe Redolens (Vahl) Roem. & Schult. In Tierra del Fuego and adjacent regions.,1975,"Boletin de la Sociedad Argentina de Botanica, 16(4), pp. 390-396.","Moore, D.M., Doggett, M.C.","Hierochloe redolens, Tierra del fuego, Cinnamon grass",Scientific Paper
1581,Interspecific Hybridization in Fuegian Caltha L.,1973,"Boletin de la Sociedad Argentina de Botanica, 15(1): 72-76.","Moore, D.M., Goodall, R.N.P.","Hybridization, Fuegian caltha, Tierra del fuego, Marigold",Scientific Paper
1591,Separation of allelopathy and resource competition by the boreal dwarf shrub Empetrum hermaphroditum  Hagerup.,1994,Oecologia. 98: 1-7,"Nilsson, M.C.","Allelopathy, Boreal dwarf, Shrubs, Empetrum hermaphroditum, Flora",Scientific Paper
1594,A revision of the moss genus Sciaromium (Mitt) Mitt. II The section Limbidium Dusen with a description of Vittia Gen. Nov. (Vittiaceae fam. Nov.).,1987,"Journal of the Hattori Botanical Laboratory, 62, pp. 387-415.","Ochyra, R.","Mosses, Sciaromium, Limbidium dusen, Vittia, Vittiaceae, Moss",Scientific Paper
1595,"Racomitrium lamprocarpum (C. Muell.) Jaeq., an austral moss disjunct in Portugal, with taxonomic and phytogeographic notes.",1988,"Bulletin of the National Botanic Garden of Belgium. 58, pp 225-258","Ochyra, R., Sergio, C., Schumacker, R.","Racomitrium lamprocarpum, Mosses, Portugal, Taxonomy, Phytogeography, Moss",Scientific Paper
1598,Growth responses of  four sub-Arctic dwarf shrubs to simulated environmental change.,1994,"Journal of Ecology, 82, pp. 307-318.","Parsons, A.N., Welker, J.M., Wookey, P.A., Press, M.C., Callaghan, T.V.","Growth, Sub-arctic dwarf shrubs, Environment",Scientific Paper
1599,Something about kelp.,1986,"The Warrah. Annual Report of the Falkland Islands Trust 1986, pp 15-24","Patterson, B.",Kelp,Scientific Paper
1608,Phytogeographical Sectorization of the South Patagonian-Fuegian Archipelago: I) Vegetation of the Murtillares River Periglacial Valley.,1987,"Anales del Instituto de la Patagonia, Punta Arenas (Chile)., 17: 5-57.","Pisano, E.","South patagonia, Fuegian archipelago, Phytogeography, Phytosociology, Botany, Flora, Vegetation",Scientific Paper
1609,Cormofitos Acuaticos de Magallanes.,1976,"Anales del Instituto de la Patagonia, Punta Arenas (Chile), 7, pp. 115-136.","Pisano, E.","Flora, Aquatic",Scientific Paper
1610,"Phytogeographical Sectorization of the South Patagonian-Fuegian Archipelago: II) Vegetation and Vascular Flora of the 'Laguna San Rafael', National Park Aysen (Chile).",1988,"Anales del Instituto de la Patagonia., Punta Arenas (Chile)., 18: 5-34.","Pisano, E.","Vegetation, Vascular flora, San rafael, Aysen, Plant communities, Climate, Flora",Scientific Paper
1611,Phytogeographic Sectorization of the South Patagonian-Fuegian Archipelago: V) Syntaxonomy and Distribution on the Vascular Vegetation Units.,1992,"Anales del Instituto de la Patagonia., Punta Arenas (Chile)., 21: 5-33.","Pisano, E.","Fuego-patagonia, Plant communities, Syntaxonomic categories, Phytogeography, Vascular flora, Botany, Tierra del fuego",Scientific Paper
1612,Phytogeographic Sectorization of the South Patagonian-Fuegian Archipelago: IV) Floristic and Phytogeographic affinities among 30 localities.,1991,"Anales del Instituto de la Patagonia., Punta Arenas (Chile)., 20 (1): 7-34.","Pisano, E.","South patagonian-fuegian archipelago, Vascular flora, Climate, Flora",Scientific Paper
1613,"Comunidades vegetales del area del fiordo parry, Tierra del Fuego (Parque Nacional 'Alberto M. De Agostini')",1971,"Anales del Instituto de la Patagonia, 2(1-2), pp. 93-133.","Pisano, E.","Vegetation, Tierra del fuego, Flora, Botany",Scientific Paper
1617,Felton's flower rediscovered.,1998,"The Falklands Journal, 7 (2), pp. 127-130.","Poncet, S.","Flora, Falkland islands",Scientific Paper
1618,"Yield response curves of Dactylis glomerata L. to addition of phosphorus, nitrogen, otassium, and lime on an xeric heath soil of Tierra del Fuego.",1995,Commun. Soil Sci. Plant Anal. 26 (3-4): 631-642,"Posse, G., Mendoza, R.E.","Dactylis glomerata, Phosphorus, Nitrogen, Otassium, Lime, Soil, Tierra del fuego.",Scientific Paper
1635,"The life-span and survival of fronds of Macrocystis pyrifera (Laminariales, Phaeophyta) in the Falkland Islands.",1989,British Phycological Journal. 24 (2) pp 137-141,"Van Tussenbroek, B.I.","Macrocystis pyrifera, Laminariales, Phaeophyta, Falkland islands kelp",Scientific Paper
1636,Seasonal growth and composition of fronds of Macrocystis pyrifera in the Falkland Islands.,1989,"Marine Biology., 100 (3) pp 419-430","Van Tussenbroek, B.I.","Seasonal growth, Macrocystis pyrifera, Falkland islands, Kelp, Seaweed",Scientific Paper
1637,Revision de especies Argentinas de Cerastium (Caryphyllaceae). I.,1990,Darwiniana. 30 (1-4) 259-275,"Volponi, C.R.","Cerastium, Caryphyllaceae, Argentinian species, Flora",Scientific Paper
1638,Addition to the Thecamoebae of the Falkland Islands.,1980,"Neotropica, 26 (76), pp. 143-144.","Vucetich, M.C.","Freshwater, Amoebae, Swan pond, Falkland islands, Algae",Scientific Paper
1644,Floral phenology in the South Georgian vascular flora,1982,"British Antarctic Survey Bulletin, 55, pp. 11-25.","Walton, D.W.H.","Flowering, Vascular flora, Phenology, South georgia",Scientific Paper
1651,The chemical composition of South Georgian vegetation,1979,British Antarctic Survey Bulletin No. 49: 117-135,"Walton, D.W.H., Smith, R.I.L.","Chemical composition, South georgia, Vegetation, Quality, Nutrition",Scientific Paper
1653,"The distribution of Carex Acaulis Urv., C. Barrosii Nelmes, and C.Macrosolen Steudel (Cyperaceae) in Austral South America ",1988,"Taxon, 37(1): 127-131","Wheeler, G.A.","Distribution, Carex acaulis, Carex barrosii, Carex macrosolen, Cyperaceae, South america, Sedges",Scientific Paper
1654,The taxonomy of Carex sect Aciculares (Cyperaceae) in Southern America,1989,"Systematic Botany, 14 pp 168-188","Wheeler, G.A.","Taxonomy, Carex, Cyperaceae, Southern america, Sedges",Scientific Paper
1655,"The Uncinia (Cyperaceae) of Tierra del Fuego, The Falkland Islands and South Georgia.",1994,Anales del Instituto de la Patagonia. 22 (1993-94) Serie: Ciencias Naturales. pp 21-32 with omitted photographs in 23 (1995) pp 31-34,"Wheeler, G.A.","Uncinia, Cyperaceae, Tierra del fuego, Falkland islands, South georgia, Sedges",Scientific Paper
1659,On the Flora of the Falkland Islands.,1911,"Linn. Journ.- Botany, Vol. 39, 313-339.","Wright, C.H.A.","Flora, Falkland islands.",Scientific Paper
1660,"Observations on Pseudolaingia larsenii (SKOTTSB). LEVR. (Delesseriaceae, Rhodophyta)",1989,"Japanese Journal of Physiology, 37 pp 39-45","Wynne, M.J.","Delesseriaceae, Falkland islands, Kerguelen islands, Pseudolaingia larsenii, Southern chile, Seaweed",Scientific Paper
1673,Forage shrubs in North Island hill country: 1. Forage production.,1989,"New Zealand Journal of Agricultural Research, 32, pp. 477-484.","Lambert, M.G., Jung, G.A., Costall, D.A.","Forage, Shrubs, North island, Hill country, Forage production.",Scientific Paper
1677,"Vascular flora of the North Terminal Sector of Peel Fiord (Ultima Es[peranza, Chile).",1986,"Anales del Instituto de la Patagonia, Serie Ciencias Naturales., Punta Arenas (Chile)., 16: 5-20.","Pisano, E.","Vascular flora, Southern patagonian channels, Pre-andean, Floristic similarity, Flora",Scientific Paper
1678,Phytogeographic Sectorization of the South Patagonian-Fuegian Archipelago: III. Floristic Relationships.,1989,"Anales del Instituto de la Patagonia., Punta Arenas (Chile)., 19 (1): 5-16.","Pisano, E.","South patagonian-fuegian archipelago, Climate, Flora, Botany",Scientific Paper
1683,With people come plagues.,1998,New Scientist. No. 2150 pp 4,"Anderson, I.",General,Scientific Paper
1685,"Ranching and conservation in the Falkland Islands, Part I: The big Picture - a brief history of the situation",1987,"Focus Winter 1987, pp 26-30","Bernhardson, W.","Ranching, Conservation, History, Falkland islands",Scientific Paper
1687,"The effect of burning and grazing on the grassland birds of north-west Britain, the Falkland Islands and other oceanic islands.",1988,ICPB Thecnical Publications No. 7 pp 97-103,"Bourne, W.R.P.","Burning, Grazing, Grassland, Birds, Britain, Falkland islands",Scientific Paper
1690,Global wildlife hangs on in the Falklands.,1998,"ECOS, 19 (1), pp. 42-46.","Brown, A.","Wildlife, Falkland islands",Scientific Paper
1696,An Ecologist in the Falkland Islands.,1958,"Listener, 59 (1514), pp.575-577.","Cragg, J.B.","Ecology, Falkland islands",Scientific Paper
1701,"Contributions to the applied ecology of wildlife and natural areas. VIII Bioecological aspects of the Cape Dolphin wildlife Sanctuary (East Falkland, Falkland archipelago). (Spanish with Eng. Summary).",1983,"Physis (Buenos Aires) Secc. C, 41 (101), pp. 187-196.","Daciuk, J.","Climate, Biogeography, Cape dolphin, Wildlife, Protection",Scientific Paper
1707,Ecology and the development of mountains and islands.,1979,"Nature and Resources, 15 (3), pp. 8-16.","Di Castri, F., Glaser, G.","Ecology, Mountains, Islands, Development",Scientific Paper
1712,The Shacketon report on the Falklands.,1983,Oryx 17 pp 59-60,"Fitter, R.","Conservation, Policy.",Scientific Paper
1724,Conservation problems in the Falkland Islands and the role of the Falkland Islands Foundation,1986,"Sea Swallow, 35, pp. 21-23.","Lyster, S.","Conservation, Falkland islands",Scientific Paper
1727,Human impact on island vegetation,1983,"In W. Holzner, M.J. Weger and I. Ikushma (Eds) Man's impact on vegetation. Dr. W. Junk: The Hague. Pp 237-246","Moore, D.M.","Tussock, Tussac grass, Grazing, Human impact, Poa flabellata",Scientific Paper
1734,Paradise mis-filed?,1998,ECOS. 19 (1) pp 1-11,"Pienkowski, M.","Wildlife, Conservation",Scientific Paper
1743,Falkland  wildlife at the crossroads,1983,"Natural World 7 , Spring 1983, pp. 26-28.","Standring, K.","Military impact, Conservation, Policy.",Scientific Paper
1745,The wise men of West Point.,1969,Animals. 110 (10): 458-462.,"Strange, I.","Wildlife, Conservation, West point islands, Birds",Scientific Paper
1746,Fortress Falklands - but is its wildlife secure?,1984,"Oryx ,18, pp. 14-21.","Strange, I.J.","Conflict, Wildlife, Falkland islands, Conservation",Scientific Paper
1747,The Falkland's Johnny Rook.,1986,Natural History. 95 pp 54-60,"Strange, I.J.","Johnny rook, Conservation, Agriculture, Falkland islands, Fauna, Birds",Scientific Paper
1758,International Symposium on Subantarctic Terrestrial Ecosystems,1987,"Polar Record., 23: 442-444","Walton, D.W.H.","Terrestrial ecosystems, Subantarctic",Scientific Paper
1765,The genus Aridius Motschulsky in the Falkland and South Georgia Islands (Coleoptera: Lathridiidae),1995,The Coleopterists Bulletin. 49 (1) pp 29-34,"Andrews, F.G.","Aridius, Falkland islands, South georgia, Coleoptera, Lathridiidae",Scientific Paper
1766,Other Terrestrial Research in the Antarctic.,1984,"NERC. Research Council Report. 1984, pp 79.",Anon,Arthropods.,Scientific Paper
1768,"Further notes on Migadopinae from the Falkland Islands (Insecta, Coleoptera, Carabidae).",1999,"Spixiana, 22 (1), pp. 47-52.","Baehr, M.","Migadopinae, Falkland islands, Insecta, Coleoptera, Carabidae",Scientific Paper
1771,"Low temperature adaptations in beetles from the Sub-Antarctic islands of South Georgia (Hydromedion sparsutum, Perimylops antarcticus, Oopterus soledadinus, Halmaeusa atriceps).",1983,Polar Biology. 2 (2): 109-114,"Block, W., Somme, L.","Adaptations, Beetles, Sub-antarctic islands, South georgia, Hydromedion sparsutum, Perimylops antarcticus, Oopterus soledadinus, Halmaeusa atriceps, Biology",Scientific Paper
1772,"Key to the genus Pentamyzus Hille Ris Lambers (Homoptera, Aphididae), with a description of a new species from the Falkland Islands",1987,Systematic Entomology. 12 (1): pp 1-6,"Brown, P.A.","Pentamyzus, Homoptera, Aphididae, Falkland islands, Taxonomy",Scientific Paper
1773,The Coleoptera of the Falkland Islands,1918,"Annals and Magazine of Natural History., 1 (a): 167-186","Champion, G.C.","Coleoptera, Falkland islands",Scientific Paper
1774,Kelp degradation by Paractora trichosterna (Thomson) (Diptera: Helcomyzidae) at sub-Antarctic South Georgia.,1996,Polar Biology. 16 (3) pp 171-178,"Chown, S.L.","Kelp degradation, Paractora trichosterna, Diptera, Helcomyzidae, South georgia.",Scientific Paper
1775,"Two new species of Megaselia (Dipt., Phoridea) from the Falkland Islands (Malvinas) and a replacement name in the genus.",1989,"Entomologists Monthly Magazine, 125 pp 183-186","Disney, R.H.L.","Megaselia, Diptera, Phoridea, Falkland islands",Scientific Paper
1785,The first record of Stoneflies from the Malvinas/Falkland Islands,1990,"Aquatic Insects., 12 (3): 177-180","McLellan, I.D., Wais, I.R., de Cabo, L.I.","Stoneflies, Falkland islands",Scientific Paper
1786,"Growth and development of Hydromedion sparsutum (Muller) (Coleoptera, Perimylopidae) from South Georgia at different temperatures.",1984,"Polar Biology, 3 (2), pp. 73-76.","Meyer-Arndt, S.","Insects, Beetles, South georgia, Fauna",Scientific Paper
1791,"Systematic revision, cladistic analysis and historical biogeography of the genera Falklandius Enderlein and Lanteriella gen. nov. (Coleoptera: Curculionidae)",1992,Acta Ent. Chilena. 17 pp 157-174,"Morrone, J.J.","Cladistic analysis, Biogeography, Falklandius enderlein, Lanteriella, Coleoptera, Curculionidae",Scientific Paper
1793,"Notes on spiders from the Falkland Islands (Arachnida, Araneae)",1977,Journal of Arachnology 3 pp 195-198,"Platnick, N.I.","Spiders, Falkland islands",Scientific Paper
